Food_Entity_Name,Food_Entity_Number,Address,City,State,ZIP,Food_Entity_Type,Date_Inspected,Inspection_Summary,Address_Full,latitude,longitude
PUBLIX # 1455,364662,3044 S ATLANTIC AVE,DAYTONA BEACH SHORES,FL,32118,Supermarket,42641,Pass*,3044 S ATLANTIC AVE DAYTONA BEACH SHORES FL 32118,29.1670237,-80.979013
PUBLIX # 1123,311566,605 COURTLAND BLVD,DELTONA,FL,32738,Supermarket,42640,Pass*,605 COURTLAND BLVD DELTONA FL 32738,28.8793637,-81.1770275
WINN DIXIE # 2263,10783,2200 S ATLANTIC AVE,DAYTONA BEACH SHORES,FL,32118,Supermarket,42640,Pass*,2200 S ATLANTIC AVE DAYTONA BEACH SHORES FL 32118,29.1959593,-80.9940402
PUBLIX # 0667,258208,915 DOYLE RD,DELTONA,FL,32725,Supermarket,42628,Pass*,915 DOYLE RD DELTONA FL 32725,28.8683506,-81.2519675
WINN DIXIE # 2203,31515,1838 S RIDGEWOOD AVE,EDGEWATER,FL,32141,Supermarket,42613,Pass*,1838 S RIDGEWOOD AVE EDGEWATER FL 32141,28.9708516,-80.896915
PUBLIX # 0446,65393,1478 W GRANADA BLVD,ORMOND BEACH,FL,32174,Supermarket,42601,Pass*,1478 W GRANADA BLVD ORMOND BEACH FL 32174,29.2556234,-81.1115462
WALMART #3629,374326,3811 CLYDE MORRIS BLVD,PORT ORANGE,FL,32129,Supermarket,42571,Pass*,3811 CLYDE MORRIS BLVD PORT ORANGE FL 32129,29.1420955,-81.0333082
WALMART SUPERCENTER #1391,53662,1101 BEVILLE RD,DAYTONA BEACH,FL,32119,Supermarket,42570,Pass*,1101 BEVILLE RD DAYTONA BEACH FL 32119,29.1726305,-81.0299112
WINN DIXIE # 2258,34896,1541 N NOVA RD,HOLLY HILL,FL,32117,Supermarket,42569,Pass*,1541 N NOVA RD HOLLY HILL FL 32117,29.2372402,-81.0550158
PUBLIX # 0203,6139,220 N NOVA RD,ORMOND BEACH,FL,32174,Supermarket,42522,Pass*,220 N NOVA RD ORMOND BEACH FL 32174,29.2827881,-81.0838243
WINN DIXIE # 2309,108777,353 W GRANADA BLVD,ORMOND BEACH,FL,32174,Supermarket,42431,Pass*,353 W GRANADA BLVD ORMOND BEACH FL 32174,29.2823674,-81.0686477
