GEO_ID,B01003_001E,B01003_001M,B11016_001E,B11016_001M,B19025_001E,B19025_001M,NAME,GEO_ID,state,county,tract
12095016715,6255,826,2325,138,114902800,15238213,"Census Tract 167.15, Orange County, Florida",1400000US12095016715,12,095,016715
12095011702,2970,417,1194,120,44464900,7696691,"Census Tract 117.02, Orange County, Florida",1400000US12095011702,12,095,011702
12095014804,6873,568,2594,77,132990300,17455979,"Census Tract 148.04, Orange County, Florida",1400000US12095014804,12,095,014804
12095017806,5081,358,1786,71,165420500,16793817,"Census Tract 178.06, Orange County, Florida",1400000US12095017806,12,095,017806
12095011701,4684,638,1443,125,63215200,12620936,"Census Tract 117.01, Orange County, Florida",1400000US12095011701,12,095,011701
12095012202,5458,574,1678,83,69602900,8074603,"Census Tract 122.02, Orange County, Florida",1400000US12095012202,12,095,012202
12095012303,8642,1112,2393,119,142955700,14486576,"Census Tract 123.03, Orange County, Florida",1400000US12095012303,12,095,012303
12095012305,8034,732,2516,160,112170300,14004541,"Census Tract 123.05, Orange County, Florida",1400000US12095012305,12,095,012305
12095012307,6766,756,2030,166,88684500,13834148,"Census Tract 123.07, Orange County, Florida",1400000US12095012307,12,095,012307
12095012403,4969,564,1720,109,86086700,13275693,"Census Tract 124.03, Orange County, Florida",1400000US12095012403,12,095,012403
12095013900,3737,348,1849,143,147015400,16035295,"Census Tract 139, Orange County, Florida",1400000US12095013900,12,095,013900
12095014601,7719,955,2421,192,82479500,13438539,"Census Tract 146.01, Orange County, Florida",1400000US12095014601,12,095,014601
12095014703,2223,276,905,65,48370900,6675242,"Census Tract 147.03, Orange County, Florida",1400000US12095014703,12,095,014703
12095014808,12497,607,4091,152,667905600,75075095,"Census Tract 148.08, Orange County, Florida",1400000US12095014808,12,095,014808
12095014904,6813,573,2111,116,107318300,30162999,"Census Tract 149.04, Orange County, Florida",1400000US12095014904,12,095,014904
12095015001,1701,281,479,49,23259700,4819192,"Census Tract 150.01, Orange County, Florida",1400000US12095015001,12,095,015001
12095015300,3442,263,1532,117,127353700,20709722,"Census Tract 153, Orange County, Florida",1400000US12095015300,12,095,015300
12095016001,2088,224,549,73,63123200,12106810,"Census Tract 160.01, Orange County, Florida",1400000US12095016001,12,095,016001
12095016903,16778,1878,5409,329,224682600,28814811,"Census Tract 169.03, Orange County, Florida",1400000US12095016903,12,095,016903
12095017901,3136,423,1183,103,111943000,20088804,"Census Tract 179.01, Orange County, Florida",1400000US12095017901,12,095,017901
12095017006,3924,551,1358,137,113638000,17041870,"Census Tract 170.06, Orange County, Florida",1400000US12095017006,12,095,017006
12095017008,11140,852,3316,157,182143500,25387986,"Census Tract 170.08, Orange County, Florida",1400000US12095017008,12,095,017008
12095017504,9004,723,2856,146,200231600,37002396,"Census Tract 175.04, Orange County, Florida",1400000US12095017504,12,095,017504
12095010300,2455,219,1611,120,100408700,12972154,"Census Tract 103, Orange County, Florida",1400000US12095010300,12,095,010300
12095011100,3392,395,1501,125,122753500,31882996,"Census Tract 111, Orange County, Florida",1400000US12095011100,12,095,011100
12095011300,5308,433,2164,122,209066000,38470892,"Census Tract 113, Orange County, Florida",1400000US12095011300,12,095,011300
12095012304,6967,777,2253,104,92215900,12861339,"Census Tract 123.04, Orange County, Florida",1400000US12095012304,12,095,012304
12095015106,7975,815,2307,164,113071400,15444943,"Census Tract 151.06, Orange County, Florida",1400000US12095015106,12,095,015106
12095014606,7267,589,2940,198,116523300,11486058,"Census Tract 146.06, Orange County, Florida",1400000US12095014606,12,095,014606
12095014607,5909,478,2830,174,135919300,15176451,"Census Tract 146.07, Orange County, Florida",1400000US12095014607,12,095,014607
12095015002,5498,601,1812,105,95386400,18290205,"Census Tract 150.02, Orange County, Florida",1400000US12095015002,12,095,015002
12095015901,2497,318,1049,119,64047600,18777540,"Census Tract 159.01, Orange County, Florida",1400000US12095015901,12,095,015901
12095016409,3498,286,1201,45,120156400,13763734,"Census Tract 164.09, Orange County, Florida",1400000US12095016409,12,095,016409
12095016508,9208,833,2756,166,120739000,18753599,"Census Tract 165.08, Orange County, Florida",1400000US12095016508,12,095,016508
12095016408,2304,196,937,76,65921000,7390099,"Census Tract 164.08, Orange County, Florida",1400000US12095016408,12,095,016408
12095010200,4777,430,2835,256,344616100,72779700,"Census Tract 102, Orange County, Florida",1400000US12095010200,12,095,010200
12095010400,1379,286,486,57,10646000,2614507,"Census Tract 104, Orange County, Florida",1400000US12095010400,12,095,010400
12095011600,5296,441,1714,110,69233500,13768089,"Census Tract 116, Orange County, Florida",1400000US12095011600,12,095,011600
12095012500,2145,214,976,88,90888900,22596867,"Census Tract 125, Orange County, Florida",1400000US12095012500,12,095,012500
12095013801,2528,308,960,48,57545900,7725999,"Census Tract 138.01, Orange County, Florida",1400000US12095013801,12,095,013801
12095014200,10379,904,3181,229,157066500,17970023,"Census Tract 142, Orange County, Florida",1400000US12095014200,12,095,014200
12095014805,5972,437,2073,72,103596600,11539381,"Census Tract 148.05, Orange County, Florida",1400000US12095014805,12,095,014805
12095014809,2921,339,1114,102,235848100,52789405,"Census Tract 148.09, Orange County, Florida",1400000US12095014809,12,095,014809
12095014812,5856,460,2392,185,178619400,69994810,"Census Tract 148.12, Orange County, Florida",1400000US12095014812,12,095,014812
12095015702,1889,155,699,47,100353800,20146985,"Census Tract 157.02, Orange County, Florida",1400000US12095015702,12,095,015702
12095016406,2067,328,1000,106,48794300,11827255,"Census Tract 164.06, Orange County, Florida",1400000US12095016406,12,095,016406
